celltype,marker
accessory_gland,gene_3100
accessory_gland,gene_3100
seminal_vesicle,gene_3100
semen-secreting_cell_of_the_male_reproductive_system,gene_3100
cyst,gene_3100
spermatocyte,gene_6514
spermatocyte,gene_6514
accessory_gland,gene_4433
accessory_gland,gene_6714
cyst,gene_5186
cyst,gene_4403
cyst,gene_2785
cyst,gene_2782
cyst,gene_2783
cyst,gene_2787
cyst,gene_854
cyst,gene_853
cyst,gene_4403
cyst,gene_2785
cyst,gene_2782
cyst,gene_2783
cyst,gene_2787
cyst,gene_854
cyst,gene_853
epithelial,gene_7569
spermatocyte,gene_7251
spermatocyte,gene_7251
spermatid,g3853
spermatocyte,g3853
muscle_cell,gene_4223
spermatocyte,STRG.5553
spermatocyte,STRG.11287
spermatocyte,STRG.1982
epithelial,gene_3580
spermatid,gene_3580
accessory_gland,gene_3580
seminal_vesicle,gene_3580
epithelial,gene_3580
accessory_gland,gene_3580
hemocyte,PB.8648
adult_fat_cell,gene_9445
adult_fat_cell,gene_1758
spermatocyte,gene_1065
muscle_cell,gene_4147
semen-secreting_cell_of_the_male_reproductive_system,PB.9836
cyst,gene_10556
hemocyte,gene_10556
cyst,gene_10556
cyst,PB.8580
epithelial,PB.8580
accessory_gland,gene_543
cyst,gene_2088
cyst,gene_2088
adult_fat_cell,gene_6275
adult_fat_cell,gene_2468
spermatocyte,gene_5266
epithelial,gene_7045
spermatocyte,gene_10428
spermatocyte,gene_3710
epithelial,STRG.11428
epithelial,gene_6446
epithelial,gene_312
epithelial,gene_6600
epithelial,gene_10166
muscle_cell,gene_3630
muscle_cell,gene_5699
muscle_cell,gene_6531
muscle_cell,gene_5720
accessory_gland,gene_9688
accessory_gland,gene_9794
accessory_gland,gene_10557
accessory_gland,gene_4764
semen-secreting_cell_of_the_male_reproductive_system,gene_4764
cyst,gene_8074
cyst,gene_10165
cyst,gene_10165
cyst,gene_2506
spermatocyte,gene_6950
epithelial,gene_5793
epithelial,gene_4218
epithelial,gene_8152
epithelial,gene_5793
epithelial,gene_4218
epithelial,gene_8152
epithelial,PB.4352
epithelial,PB.2270
accessory_gland,PB.2270
epithelial,PB.2270
accessory_gland,PB.2270
spermatid,PB.2270
seminal_vesicle,PB.2270
spermatocyte,gene_1480
spermatocyte,gene_1479
spermatid,gene_1480
spermatid,gene_1479
spermatocyte,gene_1480
spermatocyte,gene_1479
spermatid,gene_1480
spermatid,gene_1479
spermatid,gene_1480
spermatid,gene_1479
spermatocyte,gene_1480
spermatocyte,gene_1479
spermatocyte,gene_8749
spermatid,g2817
epithelial,g2817
spermatid,g2817
muscle_cell,gene_2328
epithelial,gene_6001
accessory_gland,gene_6001
spermatid,gene_6001
accessory_gland,gene_6001
epithelial,gene_6001
seminal_vesicle,gene_6001
spermatocyte,gene_6974
spermatocyte,gene_7563
spermatocyte,gene_6363
spermatocyte,gene_6974
spermatocyte,gene_7563
spermatocyte,gene_6363
adult_fat_cell,g5329
spermatocyte,gene_9221
cyst,gene_9574
cyst,gene_2561
cyst,gene_3904
cyst,gene_9574
cyst,gene_2561
cyst,gene_3904
cyst,gene_9574
cyst,gene_2561
cyst,gene_3904
cyst,gene_1824
cyst,gene_5414
cyst,gene_361
cyst,gene_1824
cyst,gene_5414
cyst,gene_361
cyst,gene_1824
cyst,gene_5414
cyst,gene_361
accessory_gland,PB.1460
muscle_cell,gene_8745
cyst,PB.49
epithelial,PB.49
muscle_cell,gene_1375
muscle_cell,gene_534
hemocyte,gene_6275
muscle_cell,gene_8982
epithelial,PB.2263
cyst,PB.5750
epithelial,gene_1914
epithelial,gene_1914
hemocyte,gene_4483
adult_fat_cell,gene_4135
adult_fat_cell,gene_9305
epithelial,gene_6930
epithelial,gene_2931
spermatocyte,gene_9652
spermatocyte,gene_6689
cyst,gene_9652
cyst,gene_6689
spermatocyte,gene_9652
spermatocyte,gene_6689
muscle_cell,gene_706
muscle_cell,gene_3470
spermatid,gene_347
spermatid,gene_347
hemocyte,gene_4285
hemocyte,gene_5291
adult_fat_cell,gene_4285
adult_fat_cell,gene_5291
epithelial,gene_3243
epithelial,PB.5882
spermatocyte,gene_9924
muscle_cell,PB.4388
cyst,gene_7224
spermatocyte,gene_7224
cyst,gene_7224
cyst,gene_957
cyst,gene_9553
muscle_cell,gene_8071
muscle_cell,gene_567
muscle_cell,gene_5720
epithelial,gene_8003
cyst,PB.3774
muscle_cell,gene_6002
muscle_cell,gene_5254
muscle_cell,gene_1059
adult_fat_cell,PB.9577
cyst,STRG.4484
epithelial,STRG.4484
muscle_cell,gene_6327
adult_fat_cell,gene_5376
adult_fat_cell,gene_2006
cyst,STRG.6460
epithelial,STRG.6460
epithelial,gene_4017
epithelial,gene_246
hemocyte,gene_10296
hemocyte,gene_8055
muscle_cell,gene_4402
spermatocyte,gene_2563
spermatocyte,gene_6391
adult_fat_cell,gene_4464
accessory_gland,gene_4464
accessory_gland,gene_7213
accessory_gland,gene_7213
seminal_vesicle,gene_7213
epithelial,gene_7213
semen-secreting_cell_of_the_male_reproductive_system,gene_7213
epithelial,gene_7213
spermatid,gene_7213
accessory_gland,gene_7213
accessory_gland,gene_7213
accessory_gland,gene_7213
accessory_gland,gene_7213
semen-secreting_cell_of_the_male_reproductive_system,gene_7213
accessory_gland,gene_7213
spermatid,gene_7213
accessory_gland,gene_7213
epithelial,gene_7213
epithelial,gene_7213
seminal_vesicle,gene_7213
accessory_gland,gene_7213
semen-secreting_cell_of_the_male_reproductive_system,gene_7213
seminal_vesicle,gene_7213
cyst,gene_10088
hemocyte,gene_10088
cyst,gene_10088
spermatocyte,gene_5784
cyst,gene_6859
cyst,gene_6859
accessory_gland,STRG.6223
epithelial,STRG.6223
accessory_gland,STRG.6223
accessory_gland,STRG.6223
semen-secreting_cell_of_the_male_reproductive_system,STRG.6223
cyst,gene_8072
cyst,gene_8066
accessory_gland,gene_2616
accessory_gland,gene_2617
accessory_gland,gene_8089
accessory_gland,gene_8090
epithelial,gene_2616
epithelial,gene_2617
epithelial,gene_8089
epithelial,gene_8090
seminal_vesicle,gene_7046
adult_fat_cell,gene_3906
muscle_cell,gene_3906
accessory_gland,gene_10154
seminal_vesicle,gene_10154
accessory_gland,gene_10154
seminal_vesicle,gene_10154
accessory_gland,gene_10154
accessory_gland,gene_10154
semen-secreting_cell_of_the_male_reproductive_system,gene_10154
accessory_gland,gene_10154
epithelial,gene_10154
accessory_gland,gene_10154
adult_fat_cell,PB.2963
hemocyte,PB.2963
epithelial,PB.2963
cyst,PB.9700
seminal_vesicle,gene_10124
seminal_vesicle,gene_3329
seminal_vesicle,gene_7620
cyst,gene_10124
cyst,gene_3329
cyst,gene_7620
epithelial,gene_10124
epithelial,gene_3329
epithelial,gene_7620
epithelial,gene_10124
epithelial,gene_3329
epithelial,gene_7620
cyst,gene_10124
cyst,gene_3329
cyst,gene_7620
